Added Sugar List Name,Number in Added Sugar Repository,MonstersFamily,Where it's hidden,Description ,Wiki (if it has)
Dextrin,65,Dextrin Monster,In some Tandoori Naans,"Dextrins are a group of low-molecular-weight carbohydrates produced by the hydrolysis of starch or glycogen. Dextrins are white, yellow, or brown powders that are partially or fully water-soluble, yielding optically active solutions of low viscosity. Most of them can be detected with iodine solution, giving a red coloration; one distinguishes erythrodextrin (dextrin that colours red) and achrodextrin (giving no colour)",
Corn dextrin,43,Dextrin Monster,In some Hot Cocoa powders,Corn Dextrins is a type of Dextrin but only extracted from corns. ,
Tapioca dextrin,235,Dextrin Monster,Condiments like Bar-B-Q Sauce,Tapioca Dextrin is a Dextrin that is extracted from  the cassava plant,
Wheat dextrin,244,Dextrin Monster,Some healty weight loss drinks,"Extracted from wheat starch, and widely used to add fiber in processed foods.",
Maltodextrin,117,Dextrin Monster,"chips, meat substitute, and sport drinks","Maltodextrin is usually only present in food in small amounts, but Maltodextrin is high on the glycemic index (GI), meaning that it can cause a spike in your blood sugar. ",
Organic maltodextrin,176,Dextrin Monster,In some Granola and health bars,"Organic Maltodextrin is usually only present in food in small amounts, but Organic Maltodextrin is high on the glycemic index (GI), meaning that it can cause a spike in your blood sugar. particularly careful.",
Tapioca maltodextrin,192,Dextrin Monster,,,
Organic tapioca maltodextrin,192,Dextrin Monster,In Organic Fruit Chews,Tapioca maltodextrin is a food grade dextrose made from Tapioca. Tapioca is a basically essentially flavorless starchy ingredient that is processed from dried cassava roots and is used for cooking.,
Rice maltodextrin,221,Dextrin Monster,Many Protein Bars,Maltodextrin is sweet to taste hygroscopic powder that is generally creamy white in color. The partial hydrolysis of starch results in the creation of the rice Maltodextrin. Most of the companies that are engaged in the manufacturing of Rice Maltodextrin use rice that contains some amylopectin.,
Corn maltodextrin,44,Dextrin Monster,In some Nutrition Shakes,"Corn Maltodextrin is a white powder made from corn, rice, potato starch, or wheat. Even though it comes from plants, it's highly processed. To make it, first the starches are cooked, and then acids or enzymes such as heat-stable bacterial alpha-amylase are added to break it down further.",
Cane crystals,23,Cane Monster,"In some Chewables Vitamin B6, B12 & Folic Acid Tablets","A sugar company that makes evaporated cane juice, Florida Crystals, describes it as a natural sweetener with ""dark golden hues"" and a ""sweet sugarcane flavor."" But another sugar company that doesn't make the product says it's just another name for sugar.",
Evaporated cane crystals,74,Cane Monster,In some 100% Natural Buffalo & Cranberry Sticks,"A sugar company that makes evaporated cane juice, Florida Crystals, describes it as a natural sweetener with ""dark golden hues"" and a ""sweet sugarcane flavor."" But another sugar company that doesn't make the product says it's just another name for sugar.",
Organic cane crystals,142,Cane Monster,In some Organic hot chocolate powders,"A sugar company that makes Organic cane juice, Florida Crystals, describes it as a natural sweetener with ""dark golden hues"" and a ""sweet sugarcane flavor."" But another sugar company that doesn't make the product says it's just another name for sugar.",
Cane juice,24,Cane Monster,In some Vanilla Wafers,"The US Food and Drug Administration (FDA) defines cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term “cane juice” to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup.",
Dehydrated cane juice,62,Cane Monster,In some Natural Juice Sweetened Mangos,"The US Food and Drug Administration (FDA) defines Dehydrated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term “Dehydrated cane juice” to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup.",
Evaporated cane juice,75,Cane Monster,In Chocolate Chia Muffin Tops,"The US Food and Drug Administration (FDA) defines evaporated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term “evaporated cane juice” to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup.",
Organic evaporated cane juice,159,Cane Monster,In some Peanut Butter Crackers,"The US Food and Drug Administration (FDA) defines Organic evaporated cane juice as any sweetener derived from sugarcane syrup. The US FDA considers the term “Organic evaporated cane juice” to be misleading because the term incorrectly suggests that it is a juice, when it is sugar syrup.",
Cane juice crystals,25,Cane Monster,In Molasses Bacon Seasonings,"A sugar company that makes Cane juice crystals, Florida Crystals, describes it as a natural sweetener with ""dark golden hues"" and a ""sweet sugarcane flavor."" But another sugar company that doesn't make the product says it's just another name for sugar.",
Cane molasses,26,Cane Monster,In Molasses Ginger Cookie Mixes,"Cane molasses is an ingredient used in baking and cooking. It was popular in the Americas prior to the 20th century, when it used to be a common sweetener. To make molasses, sugar cane is harvested and stripped of leaves. Its juice is extracted, usually by cutting, crushing, or mashing. The juice is boiled to concentrate it, promoting sugar crystallization. The result of this first boiling is called first syrup, and it has the highest sugar content. ",
Dextrose,66,OSE Monster,In some Peanut Butter Protein Granola bars,"Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. Dextrose is often used in baking products as a sweetener, and can be commonly found in items such as processed foods and corn syrup.",
Dextrose sugar,68,OSE Monster,In some Toffee Peanut Mini Bars,"Dextrose is the name of a simple sugar that is made from corn and is chemically identical to glucose, or blood sugar. Dextrose is often used in baking products as a sweetener, and can be commonly found in items such as processed foods and corn syrup.",
Anhydrous dextrose,3,OSE Monster,In some Chocolate Croissants,"Anhydrous dextrose is a simple carbohydrate that is directly absorbed into the blood. It has a glycemic index of 100%. It is a kind of dextrose that has no crystallised water molecules. It is a colorless, odorless white powder that is less sweeter than cane sugar; soluble in water and partially soluble in alcohol.",
Cultured dextrose,53,OSE Monster,In some Frozen Cheese French Bread Pizzas,"Cultured dextrose is a food additive used to inhibit the growth of undesirable bacteria and mold in food. ... Cultured dextrose consists of an undefined mixture of fermentation metabolites, including butyric, propionic and lactic acids and small peptides. As sold, it is an off-white powder.",
Organic dextrose,158,OSE Monster,In some Ginger Lemon Bars,"Organic Dextrose is a sweetener that's also derived from genetically engineered corn and has a long complicated manufacturing process, just like erythritol.",
Dextrose anhydrous glucose,67,OSE Monster,In some Curry mixes,"Dextrose Anhydrous Glucose is not your common table sugar. It is crystallized D-glucose compounds. It has no water molecule in its chemical structure and is a monosaccharide, a simpler sugar than the fructose cane sugar. This means that it is a dry sugar.",
Glucose,86,OSE Monster,In some Bread Bear Claws,"Glucose is a simple sugar with the molecular formula C₆H₁₂O₆. Glucose is the most abundant monosaccharide, a subcategory of carbohydrates. Glucose is mainly made by plants and most algae during photosynthesis from water and carbon dioxide, using energy from sunlight.",
Glucose syrup,89,OSE Monster,In some Balsamic Vinegars,"Glucose syrup, also known as confectioner's glucose, is a syrup made from the hydrolysis of starch. ... Maize (corn) is commonly used as the source of the starch in the US, in which case the syrup is called ""corn syrup"", but glucose syrup is also made from potatoes and wheat, and less often from barley, rice and cassava.",
Glucose solids,88,OSE Monster,In some Cinnamon Rolls Frostings,"Glucose solids are easy-to-digest simple carbohydrates, most often made from corn, rice, wheat, or potato starch. The glucose solids used in KABRITA Goat Milk Formula are derived from non-GMO corn. To obtain glucose syrup solids, a starch is cooked and then broken down into smaller glucose molecules.",
Glucose syrup solids,90,OSE Monster,In some Vanilla Ice Cream Mix,"Glucose syrup solids are easy-to-digest simple carbohydrates, most often made from corn, rice, wheat, or potato starch. The glucose syrup solids used in KABRITA Goat Milk Formula are derived from non-GMO corn. To obtain glucose syrup solids, a starch is cooked and then broken down into smaller glucose molecules.",
Dried glucose syrup,72,OSE Monster,In some Sundried Tomato Asiago Parm Bagels,"Dried Glucose syrups are carbohydrate powders with a slightly sweet taste that are used as sweeteners, nutritive components or texturising agents. Tereos Starch & Sweeteners manufactures dried glucose syrups in 3 production plants in Europe, offering a wide range of carbohydrate spectrum, particle size distribution (regular and granulated) and densities with excellent compression, flowability and dissolving properties. ",
Organic glucose syrup,164,OSE Monster,In some Blueberry Crisp Bars,"Our Organic glucose syrup is produced like glucose by enzymatic decomposition from starch. Depending on the crop, the starch is made from, it is also referred to as rice syrup, corn syrup or wheat syrup. Most glucose syrup is liquid, but it can also be dried and packaged as a powder.",
Wheat glucose syrup,245,OSE Monster,In some Black Licorice snacks,"Wheat Glucose syrup is a gluten- free sweetener made most frequently from corn, but also from tapioca, potato, and sorghum or wheat starch. It is such a highly processed and purified ingredient that the source of the starch does not matter.",
Glucose fructose syrup,87,OSE Monster,In some Dark Chocolate bars,"Glucose fructose syrup is a sweet liquid made of glucose and fructose. Unlike sucrose, where 50% of glucose and 50% of fructose are linked together, GFS can have a varying ratio of the two simple sugars, meaning that some extra, unbound glucose or fructose molecules are present. The fructose content in GFS can range from 5% to over 50%.",
Fructose,82,OSE Monster,In some Peanut Butter Chocolate Chip  Protein Bars,"Fructose, or fruit sugar, is a simple ketonic monosaccharide found in many plants, where it is often bonded to glucose to form the disaccharide sucrose. It is one of the three dietary monosaccharides, along with glucose and galactose, that are absorbed directly into blood during digestion.",
Crystalline fructose,50,OSE Monster,In some Energy and Rehydration Formula,"Crystalline fructose is derived from corn just like high fructosecorn syrup. Crystalline fructose is sweeter than table sugar and HFCS, it is a valuable sweetener for low calorie, sugar-free foods and beverages since less can be used to achieve the same sweetness",
High fructose corn syrup,98,OSE Monster,In somw Hotdog Buns,"High-fructose corn syrup, also known as glucose-fructose, isoglucose and glucose-fructose syrup, is a sweetener made from corn starch. As in the production of conventional corn syrup, the starch is broken down into glucose by enzymes. ",
Maltose,119,OSE Monster,In some Seaweed Snacks,"Maltose, also known as maltobiose or malt sugar, is a disaccharide formed from two units of glucose joined with an α bond. In the isomer isomaltose, the two glucose molecules are joined with an α bond. Maltose is the two-unit member of the amylose homologous series, the key structural motif of starch.",
High maltose corn syrup solids,99,OSE Monster,In some Grill Mango Habanero Sauces,"High-maltose corn syrup is a food additive used as a sweetener and preservative. The majority sugar is maltose. It is less sweet than high-fructose corn syrup and contains little to no fructose.To be given the label ""high"", the syrup must contain at least 50% maltose.",
Lactose,110,OSE Monster,Is some Salted Caramel Cheesecake Bars,"Lactose is a disaccharide. It is a sugar composed of galactose and glucose and has the formula C₁₂H₂₂O₁₁. Lactose makes up around 2–8% of milk. The name comes from lac, the Latin word for milk, plus the suffix -ose used to name sugars.",
Organic lactose,173,OSE Monster,In some Organic Infant Formulas,"Organic Lactose is a disaccharide. It is a sugar composed of galactose and glucose and has the formula C₁₂H₂₂O₁₁. Organic Lactose makes up around 2–8% of milk. The name comes from lac, the Latin word for milk, plus the suffix -ose used to name sugars.",
Polydextrose,203,OSE Monster,In some Infant Formulas,"Polydextrose is made of many dextrose (glucose) carbohydrates that randomly bond together and form a polymer. Polydextrose is produced from naturally occurring components.  The 1,6-glucosidic linkage predominates in the polymer but α- and β-1,2; 1,3; 1,4 linkages are also present.",
Sucrose,227,OSE Monster,In some Tangy Barbecue Sauces,"Sucrose is common table sugar. It is a disaccharide, a molecule composed of two monosaccharides: glucose and fructose. Sucrose is produced naturally in plants, from which table sugar is refined. It has the formula C₁₂H₂₂O₁₁.",
Trehalose,239,OSE Monster,In some Instant Miso Soup,"Trehalose is a sugar consisting of two molecules of glucose. It is also known as mycose or tremalose. Some bacteria, fungi, plants and invertebrate animals synthesize it as a source of energy, and to survive freezing and lack of water.",
Syrup,233,Syrup Monster,In some Caramel Mini Stroopwafels,"n cooking, a syrup or sirup is a condiment that is a thick, viscous liquid consisting primarily of a solution of sugar in water, containing a large amount of dissolved sugars but showing little tendency to deposit crystals. Its consistency is similar to that of molasses.",
Organic invert syrup,172,Syrup Monster,Some Chocolate cookies,"Organic invert syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily. ",
Refiner's syrup,220,Syrup Monster,French Toast Flavored Cereals,"Refiner's syrup (also called “golden syrup”) is made, as the name implies, at a sugar refinery, not at the sugar mill which is where molasses is produced.",
Sugar syrup,232,Syrup Monster,In some Tofu Sauces,"Sugar syrup is a condiment that is a thick, viscous liquid consisting primarily of a solution of sugar in water, containing a large amount of dissolved sugars but showing little tendency to deposit crystals",
Caramelized sugar syrup,32,Syrup Monster,In some Honey Almonds Glazed Mixes,"Caramelized sugar syrup is a term most often applied to melting sugar until it becomes a caramel color liquid. Caramelized sugar syrup is simply a mixture of sugar and water cooked until it becomes syrupy and darkens, and reaching a temperature from 340 to 350 degrees F.",
Organic invert sugar syrup,171,Syrup Monster,In some Blueberry Crisp Bars,"Organic invert sugar syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily. ",
Sugar cane syrup,231,Syrup Monster,In Some White Sandwich Breads,"Sugar cane syrup is made by evaporating sugar cane juice. Usually, sugar cane juice is boiled for several hours, so as to yield a thick syrup that is sweeter than sugar. During the boiling process, baking soda and lemon juice are also added to the juice.",
Organic sugar cane syrup,191,Syrup Monster,In some Coconut Cookies,"Organic Sugar cane syrup is made by evaporating sugar cane juice. Usually, Organic  sugar cane juice is boiled for several hours, so as to yield a thick syrup that is sweeter than sugar. During the boiling process, baking soda and lemon juice are also added to the juice.",
Organic invert sugar cane syrup,170,Syrup Monster,In some Organic Chocolate Frostings,"Organic invert sugar cane syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily. ",
Cane syrup,29,Syrup Monster,In some Chocolate Chia Muffin Tops,"Cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. The result is a dark, ""caramel–flavored, burnt gold–colored syrup"", ""deep and slightly sulfurous"" with a ""lightly bitter backlash"".",
Cane refinery syrup,27,Syrup Monster,In some Grilled Chicken Sandwiches,Cane refinery Syrup is a pleasant tasting thick syrup with a rich unique flavor. It is a by product of the refining of cane sugar.,
Organic cane syrup,144,Syrup Monster,In some Chocolate Chip Bars,"Organic Cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. The result is a dark, ""caramel–flavored, burnt gold–colored syrup"", ""deep and slightly sulfurous"" with a ""lightly bitter backlash"".",
Evaporated cane syrup,78,Syrup Monster,In some White Wine Chicken with Couscous frozen dinners,"Evaporated cane juice is a completely natural sweetener made from sugar cane. Because it is not processed as much as table sugar, evaporated cane juice retains more of the nutrients from the sugar cane.",
Dried cane syrup,70,Syrup Monster,In some Honey Almond Flavor Cereals,"Our dried cane syrup is – essentially – white sugar. The difference is that it has undergone significantly less processing, which results in a khaki-colored, large grain sugar that can be used in place of white. The taste is a bit more muted, with a slight honey flavor to it.",
Organic dried cane syrup,155,Syrup Monster,In Some Fruit Smoothie Filled Tart Cherry Berry Bars,"Organic Dried Cane Syrup is a less processed variety of the sweet, white, crystalline sucrose most often used as an additive to foods to sweeten or add texture.",
Invert cane syrup,107,Syrup Monster,In some Gluten-Free Granola Extreme Fruit & Nut Granola bars,"Invert cane syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.",
Organic invert cane syrup,168,Syrup Monster,In some Gluten Free Double Chocolate Chip Granola Bars,"Organic Invert cane syrup is an edible mixture of two simple sugars—glucose and fructose—that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.",
Evaporated cane juice invert syrup,76,Syrup Monster,"In a variety of food products such as beverages, baked goods, dairy products and in other applications like Oats Granola Cookies",Evaporated Cane Juice Invert Syrup is an amber colored natural liquid sweetener manufactured by dissolving Evaporated Cane Juice in water and inverting a percentage of the sucrose. The end product is a highly soluble sweetener with a long shelf life. ,
Organic evaporated cane juice syrup,160,Syrup Monster,In some Dark Chocolate Covered Peppermint Sandwich Cookies,"Organic evaporated cane juice syrup is a completely natural sweetener made from sugar cane. Because it is not processed as much as table sugar, evaporated cane juice retains more of the nutrients from the sugar cane.",
Agave syrup,2,Syrup Monster,In some Lemon Chiffon Yogurts,"Agave syrup is a sweetener commercially produced from several species of agave, including Agave tequilana and Agave salmiana. Agave syrup contains fructose as a carbohydrate providing sweetening properties.",
Organic agave syrup,136,Syrup Monster,In some Organic Dark Chocolate Pomegranates,"Organic Agave syrup is a sweetener commercially produced from several species of agave, including Agave tequilana and Agave salmiana. Agave syrup contains fructose as a carbohydrate providing sweetening properties.",
